Sample #,# of round-trip trades ,total return % ,winning trades % ,average losing amount ,kelly criterion ,t-statistic ,max drawdown ,mean ,max ,min ,wtd% ,mtd% ,qtd% ,ytd% ,52wk %chg
359,10,15.26,60%,-3.815,0.704849,0.768192,22.0209,46.6475,70.4427,31.4568,0.991196,1.00522,1.02824,0.930841,1.35061
360,6,14.68,66.6667%,-1.585,0.876971,1.20249,44.4047,40.118,80.0463,18.2125,1.01734,0.959658,1.09741,0.976305,1.49507
361,10,32.83,70%,-1.87333,0.860142,2.09041,28.5837,69.1103,94.3012,48.6734,1.00383,0.750506,0.790361,0.71978,0.93053
362,10,22.3,50%,-1.748,0.786041,1.44851,49.915,47.7113,77.9128,27.9978,0.960345,0.832647,0.798208,0.800891,0.540601
363,11,6.17,45.4545%,-2.43667,0.678398,0.466498,42.9367,38.2382,70.879,17.9221,1.04513,1.16957,1.51036,1.22676,0.765697
364,13,-1.9,53.8462%,-3.64333,0.665142,-0.127894,36.5887,40.0046,68.26,23.2176,1.09144,1.09188,1.28496,1.31863,0.807783
365,10,21.67,70%,-0.983332,1.00509,2.22857,13.5616,63.7637,89.8384,47.124,0.943912,0.857607,1.11742,1.08515,1.07276
366,14,7.71,50%,-1.20286,0.915677,0.911727,41.7851,47.7644,71.9591,30.174,0.932446,0.94716,0.834007,0.826711,0.631285
367,14,38.48,64.2857%,-1.7125,0.851408,1.62597,47.973,46.912,74.9875,21.5821,1.00154,0.892897,0.903329,1.00597,0.546358
368,14,3.02999,35.7143%,-2.18,0.652031,0.202027,36.8156,54.1778,69.6758,32.8602,0.950722,0.816068,0.524448,0.797124,0.656981
369,9,17.29,77.7778%,-2.83,0.856302,1.48489,28.3049,57.4289,97.2835,33.8352,0.974664,0.906516,0.869745,0.905345,1.73346
370,11,-6.39,27.2727%,-3.03875,0.51206,-0.405625,42.6646,40.9694,71.7421,28.7263,0.955234,0.936996,0.926662,0.825116,0.910647
371,8,-0.290016,50%,-4.68,0.606838,-0.019256,31.7286,49.8688,71.6501,28.1294,1.04725,1.19369,1.41921,1.27296,0.620982
372,7,10.13,71.4286%,-4.315,0.7805,0.825774,33.9912,106.223,171.113,63.3696,1.04503,1.19818,0.982386,1.19226,1.13394
373,12,12.3,58.3333%,-2,0.791667,1.01993,8.16898,49.1853,69.6896,36.3973,1.0037,1.2413,0.949475,1.17661,1.58981
374,13,23.97,61.5385%,-1.374,0.895309,1.6454,54.626,40.5084,74.8151,16.002,1.02855,1.1626,1.12328,1.17611,0.599826
375,10,24.76,60%,-2.135,0.787354,1.48345,17.4133,43.1038,69.5998,34.7019,1.04762,1.26567,1.36667,1.3556,1.20096
376,9,6.45999,55.5556%,-1.7825,0.804893,0.869246,47.4569,42.7447,77.8914,25.2132,1.0331,1.00764,1.18875,0.927493,0.900338
377,11,10.58,63.6364%,-4.4475,0.718126,0.571504,43.9975,51.2569,82.045,30.6112,0.971601,1.11838,1.07529,1.06929,0.875253
378,13,8.87,46.1538%,-2.72429,0.659191,0.56657,44.1811,34.2066,68.26,21.3675,1.00249,1.08782,0.991805,0.992391,0.675874
379,9,3.82,55.5556%,-2.245,0.753526,0.468274,26.5207,51.7088,69.5826,40.622,1.02541,0.911073,0.725112,0.774791,0.79662
380,10,9.29,40%,-1.16167,0.916499,0.975074,49.1904,47.4973,72.1861,22.8141,1.00147,0.925837,0.628753,0.821242,0.498727
381,6,20.11,83.3333%,-4.2,0.873016,1.25877,55.9011,69.1664,109.455,34.8497,1.04124,1.04864,1.43164,1.1395,0.574064
382,11,35.89,72.7273%,-2.76667,0.825849,1.50201,36.2028,59.8262,81.2085,42.1026,1.04212,0.997508,0.803929,1.05644,0.814014
383,8,29.8,62.5%,-2.57333,0.770725,1.83392,5.0609,52.7793,72.7463,35.3366,1.00304,1.06132,1.15202,1.07807,1.48271
384,13,4.64,38.4615%,-1.965,0.697788,0.302442,62.1919,70.1049,105.342,35.4217,1.08176,1.12791,1.11058,1.19114,0.546738
385,10,5.9,60%,-2.26,0.776991,0.605211,49.4355,45.1635,72.4163,21.3527,1.00572,0.920478,0.776385,0.86567,0.617823
386,10,9.37,60%,-2.1775,0.783697,0.632734,28.6879,53.9529,72.0132,39.9318,1.00443,0.919975,0.958047,1.03757,0.618505
387,14,18.2,50%,-1.64571,0.803819,1.21251,56.0962,39.6062,74.7433,18.416,1.00948,0.915275,0.849723,0.872502,0.488371
388,13,15.63,46.1538%,-2.17857,0.708701,0.953134,51.9373,46.0547,81.8191,27.5943,1.07896,0.863919,0.817504,0.827156,0.625718
389,9,-9.58001,22.2222%,-3.08286,0.474513,-0.678025,41.7879,46.6223,71.8026,25.1188,0.944721,1.14898,0.961583,0.920025,0.779949
390,16,2.02999,50%,-1.55625,0.821285,0.246321,55.2267,55.4849,85.1543,27.7966,1.02383,1.07574,0.957698,0.96351,0.472408
391,14,42.77,64.2857%,-2.388,0.792414,1.93896,38.2604,41.8314,69.2478,28.1569,0.987655,0.904871,0.98258,0.899209,0.635915
392,13,-8.88001,38.4615%,-3.005,0.589402,-0.703045,33.3893,81.2409,97.1922,60.3658,0.915157,0.856541,0.916851,0.866696,0.702553
393,11,18.14,63.6364%,-3.385,0.743789,0.873655,37.3491,53.5413,71.5399,31.6675,1.01573,1.04657,0.93797,1.01348,0.692439
394,11,-4.23999,54.5455%,-2.782,0.708843,-0.494732,32.9155,47.9223,68.26,32.6848,1.03974,0.764742,0.671217,0.737799,0.872426
395,8,-10.96,37.5%,-3.904,0.535092,-0.92352,9.01708,67.9208,87.0856,53.2935,0.983354,1.1125,1.10525,1.27879,1.20774
396,14,16.13,64.2857%,-3.74,0.73835,0.875822,23.7298,94.5449,139.089,59.0961,1.00107,1.00193,1.08713,1.04657,1.13485
397,14,41.89,57.1429%,-1.285,0.904947,2.25331,39.8834,58.0794,81.1339,36.5132,1.03439,1.04109,0.984781,0.985957,0.831316
398,14,7.52,42.8571%,-2.57375,0.650593,0.503839,53.3325,48.4282,86.194,29.6355,1.06084,1.07668,0.879537,0.888287,0.66838
399,13,2.90999,53.8462%,-1.39167,0.870106,0.422427,70.3603,48.3905,88.7566,18.2012,0.976451,0.899934,0.826811,0.927476,0.412966
400,5,12.66,60%,-3.84,0.704167,0.742555,0.627701,92.0478,177.39,51.8631,1.03952,1.15835,1.37812,1.06908,1.82172
401,12,25.25,58.3333%,-2.484,0.751074,1.01008,49.3373,57.272,92.1426,33.7589,1.03573,1.08828,1.13074,1.08791,0.805604
402,14,-3.03,57.1429%,-3.24167,0.703636,-0.236147,46.5688,42.708,72.0432,25.3662,0.9766,0.935409,0.861318,0.862447,0.670214
403,7,25.13,42.8571%,-1.8675,0.734557,1.12254,77.5337,59.0583,102.897,25.3636,0.945691,0.84448,0.600168,0.718,0.606553
404,8,17.61,37.5%,-1.51,0.788907,1.0205,2.35229,73.6919,109.729,54.6576,0.978563,1.09847,1.27732,1.17689,1.42409
405,13,23.85,69.2308%,-1.8225,0.861138,1.85134,43.6375,62.0797,81.296,34.3887,1.06042,0.83181,0.866464,0.9728,0.529622
406,13,32.9,53.8462%,-1.91833,0.779055,1.47192,10.8179,53.8993,73.8118,34.2887,1.03142,0.968252,0.968411,0.986158,1.58825
407,12,11.02,58.3333%,-2.456,0.752986,0.919708,40.064,37.2199,69.1199,26.9151,1.00734,1.00292,0.885774,1.03015,0.769199
408,10,-8.07999,50%,-3.186,0.656937,-0.900671,72.4272,105.086,151.152,67.1923,1.00845,1.00217,0.708544,1.01341,0.595627
409,12,5.12,58.3333%,-4.474,0.676464,0.270321,64.8126,49.5562,84.4378,18.7143,1.03086,0.876878,0.880751,0.862972,0.429211
410,14,-3.53999,42.8571%,-1.96625,0.71919,-0.429724,35.7286,33.2495,71.3702,19.0373,1.00298,1.34202,1.38727,1.27348,1.36497
411,6,6.52,50%,-2.46,0.703252,0.561768,44.3366,56.9943,90.1229,34.4058,0.989521,1.0465,0.929361,0.865131,1.11523
