Date,Open,High,Low,Close,Volume,Adj Close,SMA(5),SMA(20),SMA(50),Diff 5-20,Diff 5-50,Signal,,Action ,Return
9/6/2011,54.6,56.07,54.15,55.47,2707300,54.38,56.154,54.7865,61.5386,1.3675,-5.3846,SELL,,,
9/7/2011,56.67,58.06,56.29,57.96,3094200,56.82,56.03,54.901,61.3948,1.129,-5.3648,SELL,,,
9/8/2011,57.73,58.55,57.01,57.35,2555900,56.22,55.79,55.0785,61.203,0.7115,-5.413,SELL,,,
9/9/2011,56.57,57.14,55.01,55.66,3498000,54.57,55.434,55.0295,60.9566,0.4045,-5.5226,SELL,,,
9/12/2011,54.52,56,53.47,54.99,4698400,53.91,55.18,54.923,60.6746,0.257,-5.4946,SELL,,,
9/13/2011,55.21,56.32,54.44,55.83,3309300,54.73,55.25,54.7695,60.3992,0.4805,-5.1492,SELL,,,
9/14/2011,55.8,57.15,54.69,56.28,3960200,55.18,54.922,54.737,60.129,0.185,-5.207,SELL,,,
9/15/2011,56.7,57.12,55.71,56.86,2963400,55.74,54.826,54.743,59.8734,0.083,-5.0474,SELL,,,
9/16/2011,57.09,57.33,55.97,56.55,3170800,55.53,55.018,54.8935,59.5894,0.1245,-4.5714,SELL,,,
9/19/2011,55.65,55.77,54.17,55.36,2893100,54.37,55.11,55.032,59.296,0.078,-4.186,SELL,,,
9/20/2011,55.44,55.65,53.15,53.31,4646800,52.35,54.634,55.059,59.0154,-0.425,-4.3814,SELL,,,
9/21/2011,52.92,52.92,50.43,50.52,4593600,49.61,53.52,54.876,58.681,-1.356,-5.161,SELL,,,
9/22/2011,48.21,48.33,45.7,46.55,6736200,45.71,51.514,54.4855,58.2352,-2.9715,-6.7212,SELL,,,
9/23/2011,45.93,47.23,45.67,46.46,4540000,45.63,49.534,54.1265,57.8212,-4.5925,-8.2872,SELL,,,
9/26/2011,46.52,48,45.2,47.85,5618600,46.99,48.058,53.743,57.4054,-5.685,-9.3474,SELL,,,
9/27/2011,49.46,50.91,48.76,49.14,6904200,48.26,47.24,53.3195,57.012,-6.0795,-9.772,SELL,,,
9/28/2011,49.3,49.37,45.56,45.79,5266200,44.97,46.312,52.696,56.5248,-6.384,-10.2128,SELL,,,
9/29/2011,47.05,47.23,45.05,46.38,4724400,45.55,46.28,52.1025,56.052,-5.8225,-9.772,SELL,,,
9/30/2011,45.3,46.09,44.62,44.83,6259400,44.03,45.96,51.4865,55.5346,-5.5265,-9.5746,SELL,,,
10/3/2011,44.26,45.05,41.76,41.89,7591600,41.14,44.79,50.7845,54.9496,-5.9945,-10.1596,SELL,,,
10/4/2011,41.27,43.99,40.17,43.98,7109600,43.19,43.776,50.225,54.4152,-6.449,-10.6392,SELL,,,
10/5/2011,44.11,46.69,43.54,46.47,9759300,45.64,43.91,49.666,53.9594,-5.756,-10.0494,SELL,,,
10/6/2011,46.54,47.97,45.78,47.52,6966000,46.67,44.134,49.1885,53.5704,-5.0545,-9.4364,SELL,,,
10/7/2011,48.23,48.25,45.43,46.04,3366800,45.21,44.37,48.7205,53.16,-4.3505,-8.79,SELL,,,
10/10/2011,47.26,48.64,47.26,48.59,2768400,47.72,45.686,48.411,52.8086,-2.725,-7.1226,SELL,,,
10/11/2011,47.76,49.51,47.57,49.21,3704300,48.33,46.714,48.091,52.4716,-1.377,-5.7576,SELL,,,
10/12/2011,49.71,51.23,49.64,50.24,4888000,49.34,47.454,47.799,52.1928,-0.345,-4.7388,SELL,,,
10/13/2011,49.86,50.36,48.43,50.06,2570200,49.16,47.952,47.47,51.9148,0.482,-3.9628,SELL,,,
10/14/2011,50.92,51.63,50.38,51.49,2921200,50.57,49.024,47.222,51.7808,1.802,-2.7568,SELL,,,
10/17/2011,51.09,51.09,48.66,48.93,3357100,48.05,49.09,46.906,51.6296,2.184,-2.5396,SELL,,,
10/18/2011,48.75,51.28,47.48,50.94,5418900,50.03,49.43,46.79,51.619,2.64,-2.189,SELL,,,
10/19/2011,50.7,50.76,48.47,48.79,4625000,47.91,49.144,46.705,51.4866,2.439,-2.3426,SELL,,,
10/20/2011,48.77,49.66,47.76,49.34,3839500,48.45,49.002,46.842,51.4022,2.16,-2.4002,SELL,,,
10/21/2011,50.42,51.04,49.79,50.82,3351600,49.91,48.87,47.056,51.2894,1.814,-2.4194,SELL,,,
10/24/2011,51.5,53.5,51,53.36,3826900,52.4,49.74,47.3265,51.2166,2.4135,-1.4766,SELL,,,
10/25/2011,52.96,52.96,51.15,51.32,3402600,50.4,49.814,47.4335,51.0686,2.3805,-1.2546,SELL,,,
10/26/2011,52.37,52.93,50.55,52.45,3611800,51.51,50.534,47.7605,50.9822,2.7735,-0.4482,SELL,,,
10/27/2011,54.9,57.83,54.58,57.22,5996200,56.19,52.082,48.2925,50.9936,3.7895,1.0884,BUY,,,
10/28/2011,56.6,59.36,56.36,58.88,4560200,57.82,53.664,48.982,51.0996,4.682,2.5644,BUY,,,
10/31/2011,57.87,57.87,54.93,55.01,5112600,54.02,53.988,49.626,51.148,4.362,2.84,BUY,,,
11/1/2011,52.63,54.38,51.38,53.37,6043000,52.41,54.39,50.087,51.16,4.303,3.23,BUY,,,
11/2/2011,54.82,55.34,53.54,54.93,2992300,53.94,54.876,50.502,51.1734,4.374,3.7026,BUY,,,
11/3/2011,56.17,56.64,54.24,56.44,4127100,55.43,54.724,50.94,51.2116,3.784,3.5124,BUY,,,
11/4/2011,55.85,57.45,55,56.93,2697700,55.91,54.342,51.475,51.2736,2.867,3.0684,BUY,,,
11/7/2011,57.03,57.93,55.72,57.03,2663600,56.01,54.74,51.8895,51.3006,2.8505,3.4394,BUY,,,
11/8/2011,57.03,58.05,56.37,57.36,3223200,56.33,55.524,52.2895,51.2926,3.2345,4.2314,BUY,,,
11/9/2011,55.64,55.87,53.22,53.52,6212100,52.56,55.248,52.4505,51.195,2.7975,4.053,BUY,,,
11/10/2011,54.38,55,52.77,53.8,2650200,52.83,54.728,52.634,51.1032,2.094,3.6248,BUY,,,
11/11/2011,54.47,55.95,54.39,55.14,3274300,54.15,54.376,52.813,51.0592,1.563,3.3168,BUY,,,
11/14/2011,54.95,55.54,54.04,54.59,2473400,53.61,53.896,53.091,51.0278,0.805,2.8682,BUY,,,
11/15/2011,54.35,55.74,53.78,55.43,3052800,54.44,53.518,53.3115,51.029,0.2065,2.489,BUY,,,
11/16/2011,54.72,55.42,53.42,53.63,2712000,52.67,53.54,53.5495,50.946,-0.0095,2.594,BUY,,,
11/17/2011,53.51,53.98,51.13,51.51,6815800,50.59,53.092,53.6565,50.8334,-0.5645,2.2586,BUY,,,
11/18/2011,52.07,52.39,51.09,51.33,4674800,50.41,52.344,53.6815,50.7502,-1.3375,1.5938,BUY,,,
11/21/2011,50.38,50.38,48.81,49.91,4018400,49.01,51.424,53.512,50.6522,-2.088,0.7718,BUY,,,
11/22/2011,49.9,50.53,48.86,49.48,2904700,48.59,50.254,53.4215,50.5294,-3.1675,-0.2754,SELL,,,
11/23/2011,48.74,48.86,47.06,47.06,3251600,46.22,48.964,53.157,50.3502,-4.193,-1.3862,SELL,,,
11/25/2011,46.84,47.63,46.51,46.63,1140600,45.79,48.004,52.637,50.1512,-4.633,-2.1472,SELL,,,
11/28/2011,48.81,50,48.75,49.55,4015000,48.66,47.654,52.179,50.0138,-4.525,-2.3598,SELL,,,
11/29/2011,49.69,50.31,49.03,49.66,2569800,48.77,47.606,51.9165,49.9018,-4.3105,-2.2958,SELL,,,
11/30/2011,52.16,54.47,51.97,54.31,6032500,53.34,48.556,51.963,49.9216,-3.407,-1.3656,SELL,,,
12/1/2011,54.05,54.8,53.12,53.83,2887400,52.86,49.884,51.909,49.9866,-2.025,-0.1026,SELL,,,
12/2/2011,54.72,55.06,53.3,53.5,3094600,52.54,51.234,51.7645,50.1232,-0.5305,1.1108,BUY,,,
12/5/2011,54.36,55.35,53.58,54.35,3976800,53.37,52.176,51.6375,50.278,0.5385,1.898,BUY,,,
12/6/2011,54.03,55.38,53.43,54.7,3736700,53.72,53.166,51.523,50.4126,1.643,2.7534,BUY,,,
12/7/2011,54.38,54.55,53.36,54.4,2201300,53.42,53.182,51.3775,50.5158,1.8045,2.6662,BUY,,,
12/8/2011,53.94,53.94,51.53,51.77,4517800,50.84,52.778,51.2915,50.6332,1.4865,2.1448,BUY,,,
12/9/2011,52.18,53.89,51.81,53.63,3353400,52.67,52.804,51.2835,50.7756,1.5205,2.0284,BUY,,,
12/12/2011,52.47,52.47,50.7,51.46,3209900,50.54,52.238,51.103,50.9058,1.135,1.3322,BUY,,,
12/13/2011,51.63,52.5,49.23,49.58,4508500,48.69,51.232,50.857,51.0568,0.375,0.1752,BUY,,,
12/14/2011,49.08,49.59,47.96,48.59,5535300,47.72,50.092,50.521,51.1474,-0.429,-1.0554,SELL,,,
12/15/2011,49.71,49.74,48.18,48.47,4607700,47.6,49.444,50.2675,51.1866,-0.8235,-1.7426,SELL,,,
12/16/2011,48.89,49.81,48.41,48.88,3716100,48.21,48.552,50.1485,51.2174,-1.5965,-2.6654,SELL,,,
12/19/2011,49.12,49.29,47.1,47.31,4479200,46.66,47.776,49.961,51.2464,-2.185,-3.4704,SELL,,,
12/20/2011,48.46,49.94,48.46,49.81,4487600,49.13,47.864,49.967,51.2746,-2.103,-3.4106,SELL,,,
12/21/2011,49.81,50.14,48.83,49.89,2629200,49.21,48.162,49.998,51.2922,-1.836,-3.1302,SELL,,,
12/22/2011,50.05,51.12,49.79,50.79,3086800,50.09,48.66,50.1915,51.3072,-1.5315,-2.6472,SELL,,,
12/23/2011,50.97,51,50.25,50.63,1571300,49.94,49.006,50.399,51.3228,-1.393,-2.3168,SELL,,,
12/27/2011,50.47,50.72,49.89,49.96,824500,49.28,49.53,50.43,51.297,-0.9,-1.767,SELL,,,
12/28/2011,49.84,49.96,48.01,48.1,4189500,47.44,49.192,50.3635,51.2848,-1.1715,-2.0928,SELL,,,
12/29/2011,48.13,48.64,47.94,48.55,1114200,47.89,48.928,50.091,51.242,-1.163,-2.314,SELL,,,
12/30/2011,48.35,49.16,48.35,48.99,840700,48.32,48.574,49.864,51.2502,-1.29,-2.6762,SELL,,,
1/3/2012,50.71,51.94,50.71,51.69,4380500,50.98,48.782,49.786,51.3008,-1.004,-2.5188,SELL,,,
1/4/2012,51.2,52.15,50.73,51.82,2614100,51.11,49.148,49.673,51.3248,-0.525,-2.1768,SELL,,,
1/5/2012,51.3,51.85,50.24,51.28,2059200,50.58,49.776,49.516,51.2884,0.26,-1.5124,SELL,,,
1/6/2012,51.4,51.85,50.52,51.31,3774100,50.61,50.32,49.3755,51.2926,0.9445,-0.9726,SELL,,,
1/9/2012,51.53,51.9,50.96,51.08,3080600,50.38,50.732,49.3525,51.27,1.3795,-0.538,SELL,,,
1/10/2012,52.3,52.95,52.19,52.48,4778900,51.76,50.888,49.307,51.1814,1.581,-0.2934,SELL,,,
1/11/2012,52.5,52.93,51.64,52.8,2652900,52.08,51.082,49.384,51.0666,1.698,0.0154,BUY,,,
1/12/2012,53.09,53.44,52.37,53.26,2288500,52.53,51.472,49.576,51.0368,1.896,0.4352,BUY,,,
1/13/2012,52.42,52.54,51.1,51.82,2632600,51.11,51.572,49.7455,51.0108,1.8265,0.5612,BUY,,,
1/17/2012,52.61,52.9,51.5,51.83,2405100,51.12,51.72,49.9215,50.9544,1.7985,0.7656,BUY,,,
1/18/2012,51.81,52.96,51.41,52.87,2876300,52.15,51.798,50.1185,50.8888,1.6795,0.9092,BUY,,,
1/19/2012,53.15,53.64,52.84,53.11,1893000,52.38,51.858,50.4045,50.8182,1.4535,1.0398,BUY,,,
1/20/2012,52.76,53.46,52.61,53.01,2629200,52.28,51.808,50.562,50.7436,1.246,1.0644,BUY,,,
1/23/2012,53.33,54.32,53.11,53.55,3200500,52.82,52.15,50.7425,50.6734,1.4075,1.4766,BUY,,,
1/24/2012,52.9,53.74,52.21,53.73,2662200,52.99,52.524,50.8875,50.682,1.6365,1.842,BUY,,,
1/25/2012,53.41,55.88,53.01,55.64,5391200,54.88,53.07,51.1345,50.723,1.9355,2.347,BUY,,,
1/26/2012,56.3,56.8,54.67,55.13,3252300,54.37,53.468,51.389,50.7274,2.079,2.7406,BUY,,,
1/27/2012,54.74,56,54.67,55.83,3796500,55.07,54.026,51.7705,50.7566,2.2555,3.2694,BUY,,,
1/30/2012,54.82,55.51,54.29,54.95,2817700,54.2,54.302,52.086,50.7518,2.216,3.5502,BUY,,,
1/31/2012,55.76,56.03,53.54,54.22,4609500,53.48,54.4,52.344,50.768,2.056,3.632,BUY,,,
2/1/2012,54.85,55.76,54.66,55.02,4100800,54.27,54.278,52.5085,50.8416,1.7695,3.4364,BUY,,,
2/2/2012,55.27,56.52,54.8,55.81,3128700,55.05,54.414,52.7055,50.9344,1.7085,3.4796,BUY,,,
2/3/2012,56.8,57.06,56.07,56.77,2706900,55.99,54.598,52.976,51.074,1.622,3.524,BUY,,,
2/6/2012,56.45,56.9,56.1,56.58,1105200,55.81,54.92,53.236,51.2184,1.684,3.7016,BUY,,,
2/7/2012,56.35,56.41,55.22,55.73,2408100,54.97,55.218,53.4655,51.3934,1.7525,3.8246,BUY,,,
2/8/2012,55.94,56.71,55.29,55.47,2922100,54.71,55.306,53.613,51.5718,1.693,3.7342,BUY,,,
2/9/2012,55.55,55.96,54.68,55.24,3144000,54.48,55.192,53.733,51.6882,1.459,3.5038,BUY,,,
2/10/2012,54.15,54.27,53.11,53.25,4270800,52.52,54.498,53.7325,51.7632,0.7655,2.7348,BUY,,,
2/13/2012,54.05,54.05,52.87,53.32,3069700,52.59,53.854,53.8065,51.7482,0.0475,2.1058,BUY,,,
2/14/2012,53.01,53.06,51.67,52.26,5055000,51.54,53.168,53.8275,51.7218,-0.6595,1.4462,BUY,,,
2/15/2012,52.59,52.74,51.68,51.94,4554800,51.23,52.472,53.7815,51.6956,-1.3095,0.7764,BUY,,,
2/16/2012,51.96,53.61,51.5,53.53,3993300,52.8,52.136,53.8025,51.6842,-1.6665,0.4518,BUY,,,
2/17/2012,53.78,54.03,52.86,53.02,3120100,52.29,52.09,53.803,51.6556,-1.713,0.4344,BUY,,,
2/21/2012,53.52,54.77,53.36,53.98,4605200,53.24,52.22,53.824,51.652,-1.604,0.568,BUY,,,
2/22/2012,53.94,54.46,53.33,53.57,3211700,52.84,52.48,53.8165,51.692,-1.3365,0.788,BUY,,,
2/23/2012,53.59,54.08,52.94,53.87,1973800,53.13,52.86,53.729,51.7012,-0.869,1.1588,BUY,,,
2/24/2012,53.76,54.43,53.51,53.92,2191300,53.18,52.936,53.6695,51.754,-0.7335,1.182,BUY,,,
2/27/2012,53.38,53.64,52.75,53.23,2179300,52.5,52.978,53.541,51.8302,-0.563,1.1478,BUY,,,
2/28/2012,53.23,53.78,53.02,53.47,2225700,52.74,52.878,53.468,51.9306,-0.59,0.9474,BUY,,,
2/29/2012,53.64,54.15,51.76,51.82,4830500,51.11,52.532,53.3495,52.0008,-0.8175,0.5312,BUY,,,
3/1/2012,52.36,53.16,52.22,52.45,2957500,51.73,52.252,53.2225,52.0712,-0.9705,0.1808,BUY,,,
3/2/2012,52.32,52.5,51.17,51.44,3075200,50.74,51.764,53.007,52.1528,-1.243,-0.3888,SELL,,,
3/5/2012,51.26,51.26,49.65,49.96,3136500,49.28,51.12,52.6715,52.1558,-1.5515,-1.0358,SELL,,,
3/6/2012,48.71,48.84,48.07,48.69,4873900,48.02,50.176,52.282,52.132,-2.106,-1.956,SELL,,,
3/7/2012,49.14,49.14,48.24,48.79,2985500,48.12,49.578,51.9395,52.0926,-2.3615,-2.5146,SELL,,,
3/8/2012,49.3,49.61,48.63,49.38,2708700,48.7,48.972,51.639,52.0678,-2.667,-3.0958,SELL,,,
3/9/2012,49.44,51.21,49.32,50.54,5139700,49.85,48.794,51.4075,52.0792,-2.6135,-3.2852,SELL,,,
3/12/2012,50.38,50.95,49.27,49.35,4446100,48.67,48.672,51.215,52.1038,-2.543,-3.4318,SELL,,,
3/13/2012,49.87,50.86,49.66,50.73,3737900,50.04,49.076,51.0875,52.1468,-2.0115,-3.0708,SELL,,,
3/14/2012,50.53,50.67,49.63,49.88,5482600,49.2,49.292,50.9705,52.1644,-1.6785,-2.8724,SELL,,,
3/15/2012,49.95,50.74,49.43,50.43,3513600,49.74,49.5,50.896,52.1396,-1.396,-2.6396,SELL,,,
3/16/2012,50.54,51.34,50.53,50.95,6675000,50.37,49.604,50.7745,52.1248,-1.1705,-2.5208,SELL,,,
3/19/2012,51.03,52.57,50.77,51.8,5152400,51.21,50.112,50.7205,52.1374,-0.6085,-2.0254,SELL,,,
3/20/2012,51.1,51.22,50.06,51.03,4074700,50.44,50.192,50.5805,52.134,-0.3885,-1.942,SELL,,,
3/21/2012,51.21,51.48,50.38,50.73,3625400,50.15,50.382,50.446,52.1294,-0.064,-1.7474,SELL,,,
3/22/2012,50.07,50.07,48.67,49.14,5417600,48.58,50.15,50.2185,52.0658,-0.0685,-1.9158,SELL,,,
3/23/2012,49.13,50.33,49.03,49.89,5316400,49.32,49.94,50.0255,52.0106,-0.0855,-2.0706,SELL,,,
3/26/2012,50.55,50.84,49.71,50.25,3172100,49.67,49.632,49.884,51.9534,-0.252,-2.3214,SELL,,,
3/27/2012,50.4,50.98,49.88,49.88,2459200,49.31,49.406,49.7125,51.9174,-0.3065,-2.5114,SELL,,,
